Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Severity,Parts_Required,Parts_Availability,Garage_Type,Mechanic_Expertise,Location,Day_of_Week,Time_of_Day,Actual_Repair_Hours
23,Suzuki Alto,2020,23502,Electrical,Headlight Issue,Moderate,Bulb/Fuse,In Stock,Authorized,19,Paburana,Wednesday,Evening,0.6
24,Suzuki Alto,2021,42695,Suspension,Rim Bend,Moderate,Rim Repair,In Stock,Authorized,16,Weligama,Friday,Morning,1.0
25,Suzuki Alto,2014,299452,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Local,3,Borella,Monday,Afternoon,3.3
26,Suzuki Alto,2021,35951,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Authorized,16,Kamburupitiya,Friday,Evening,0.6
27,Suzuki Alto,2013,176216,Transmission,Gear Shifting Hard,Moderate,Gear Cable/Oil,In Stock,Local,5,Modara,Monday,Afternoon,5.1
28,Suzuki Alto,2016,94203,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,In Stock,Authorized,12,Bambalapitiya,Saturday,Evening,3.0
29,Suzuki Alto,2018,57490,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,13,Paburana,Tuesday,Afternoon,0.5
30,Suzuki Alto,2021,41554,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Authorized,15,Borella,Wednesday,Afternoon,2.8
31,Suzuki Alto,2022,32000,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Local,13,Kamburupitiya,Thursday,Evening,4.1
32,Suzuki Alto,2017,251669,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,13,Hiththetiya,Thursday,Evening,1.8
33,Suzuki Alto,2011,209090,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,12,Dikwella,Friday,Afternoon,0.5
34,Suzuki Alto,2016,101721,Brake,Disc Rotor Warped,Moderate,Disc Skimming,Order Required,Local,9,Devinuwara,Thursday,Morning,1.7
35,Suzuki Alto,2012,152733,Brake,Brake Shoe Wear,Moderate,Brake Shoes,In Stock,Local,25,Kotapola,Friday,Morning,1.2
36,Suzuki Alto,2018,65891,Brake,ABS Sensor Fault,Moderate,ABS Sensor,In Stock,Authorized,10,Pallimulla,Thursday,Morning,1.2
37,Suzuki Alto,2018,23014,Suspension,Wheel Bearing Noise,Minor,Wheel Bearing,In Stock,Authorized,9,Akuressa,Sunday,Evening,1.4
38,Suzuki Alto,2017,30097,Engine,Coolant Leak,Minor,Radiator Hose/Pipe,In Stock,Local,14,Borella,Wednesday,Afternoon,0.7
39,Suzuki Alto,2016,135163,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,15,Gandara,Monday,Morning,2.0
40,Suzuki Alto,2020,143802,Transmission,CVT Jerking (AGS),Major,AGS Actuator/Oil,Order Required,Authorized,19,Pasgoda,Thursday,Morning,9.0
41,Suzuki Alto,2015,89776,Suspension,Steering Rack Rattle,Moderate,Steering Rack Bush,In Stock,Local,9,Pasgoda,Thursday,Afternoon,4.9
42,Suzuki Alto,2015,356910,Engine,Misfiring,Moderate,Spark Plugs/Coils,In Stock,Authorized,8,Pitabeddara,Friday,Morning,1.9
43,Suzuki Alto,2022,29390,Transmission,Gear Shifting Hard,Minor,Gear Cable/Oil,In Stock,Local,7,Mulatiyana,Sunday,Morning,2.2
44,Suzuki Alto,2013,60868,Engine,Misfiring,Moderate,Spark Plugs/Coils,Order Required,Local,21,Slave Island,Saturday,Afternoon,1.5
45,Suzuki Alto,2014,180495,Brake,Brake Fluid Leak,Moderate,Brake Cylinder/Line,In Stock,Authorized,12,Gandara,Thursday,Evening,2.6
46,Suzuki Alto,2012,156794,Engine,Radiator Cap Fault,Moderate,Radiator Cap,In Stock,Local,10,Nawimana,Sunday,Morning,0.5
47,Suzuki Alto,2022,8201,Suspension,Shock Absorber Leaking,Major,Shock Absorbers,In Stock,Authorized,18,Hiththetiya,Saturday,Afternoon,5.3
48,Suzuki Alto,2015,368579,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Authorized,9,Devinuwara,Monday,Evening,0.0
49,Suzuki Alto,2011,252860,Suspension,Steering Rack Rattle,Major,Steering Rack Bush,In Stock,Local,12,Dikwella,Tuesday,Morning,11.5
50,Suzuki Alto,2012,113804,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,7,Dehiwala,Wednesday,Evening,0.5
51,Suzuki Alto,2014,314865,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,23,Kamburupitiya,Monday,Evening,0.5
52,Suzuki Alto,2013,109303,Suspension,Bushings Worn,Minor,Suspension Bush Kit,In Stock,Local,15,Athuraliya,Thursday,Evening,1.9
53,Suzuki Alto,2020,18765,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Local,6,Devinuwara,Sunday,Afternoon,5.0
54,Suzuki Alto,2015,66380,Engine,Oil Leak (Gasket),Moderate,Valve Cover Gasket,In Stock,Local,22,Borella,Monday,Evening,2.5
55,Suzuki Alto,2020,66230,Body,Windshield Crack,Major,Windshield Glass,In Stock,Local,1,Welipitiya,Monday,Evening,12.6
56,Suzuki Alto,2011,190896,Engine,Oil Leak (Gasket),Minor,Valve Cover Gasket,In Stock,Local,7,Dondra,Tuesday,Afternoon,1.4
57,Suzuki Alto,2015,110881,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Authorized,14,Gandara,Monday,Afternoon,3.0
58,Suzuki Alto,2013,401106,Electrical,Rat Bite Damage,Major,Wiring Harness Repair,Order Required,Local,14,Paburana,Saturday,Morning,9.8
59,Suzuki Alto,2015,48092,Electrical,Battery Drain,Moderate,Battery,In Stock,Local,11,Matara,Sunday,Afternoon,0.6
60,Suzuki Alto,2022,15445,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Authorized,20,Kaduwela,Monday,Evening,1.5
61,Suzuki Alto,2022,70056,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Authorized,19,Hiththetiya,Monday,Morning,3.3
62,Suzuki Alto,2019,25273,Suspension,Wheel Bearing Noise,Moderate,Wheel Bearing,Order Required,Authorized,19,Kirulapone,Thursday,Morning,2.5
63,Suzuki Alto,2014,314214,Electrical,Alternator Failure,Major,Alternator,In Stock,Local,13,Kamburupitiya,Monday,Evening,6.7
64,Suzuki Alto,2017,175901,Electrical,Battery Drain,Minor,Battery,In Stock,Local,6,Grandpass,Thursday,Evening,0.5
65,Suzuki Alto,2015,29082,Electrical,Check Engine Light,Minor,Sensor (O2/MAP),In Stock,Local,3,Pallimulla,Sunday,Morning,0.7
66,Suzuki Alto,2012,78793,Transmission,CVT Jerking (AGS),Moderate,AGS Actuator/Oil,In Stock,Authorized,10,Seethawaka,Wednesday,Evening,4.2
67,Suzuki Alto,2011,67425,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,24,Welipitiya,Wednesday,Afternoon,1.1
68,Suzuki Alto,2015,160450,Engine,Throttle Body Issue,Moderate,Throttle Body Cleaner,In Stock,Local,20,Meddawatta,Saturday,Evening,0.7
69,Suzuki Alto,2016,270942,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Local,15,Paburana,Tuesday,Evening,2.7
70,Suzuki Alto,2017,271736,Engine,Water Pump Failure,Major,Water Pump,In Stock,Local,25,Nupe,Friday,Morning,8.1
71,Suzuki Alto,2021,139809,Electrical,Battery Drain,Minor,Battery,In Stock,Authorized,17,Kamburupitiya,Wednesday,Evening,0.5
72,Suzuki Alto,2021,98215,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Authorized,5,Meddawatta,Friday,Morning,3.7
73,Suzuki Alto,2014,243255,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,9,Kesbewa,Friday,Morning,0.5
74,Suzuki Alto,2015,344004,Brake,Disc Rotor Warped,Major,Disc Skimming,In Stock,Authorized,18,Weligama,Sunday,Evening,3.5
75,Suzuki Alto,2019,154346,Engine,Water Pump Failure,Major,Water Pump,In Stock,Authorized,17,Meddawatta,Saturday,Morning,10.0
76,Suzuki Alto,2020,48118,Engine,Engine Knocking,Major,Engine Overhaul Kit,Order Required,Authorized,11,Dehiwala,Saturday,Afternoon,53.5
77,Suzuki Alto,2012,66137,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Authorized,13,Kesbewa,Tuesday,Afternoon,0.5
78,Suzuki Alto,2015,364640,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Local,17,Kesbewa,Friday,Afternoon,2.9
79,Suzuki Alto,2020,137392,Engine,Fuel Injector Clog,Major,Injector Cleaning,In Stock,Authorized,5,Nawimana,Saturday,Morning,7.1
80,Suzuki Alto,2013,280109,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Authorized,14,Ratmalana,Thursday,Morning,0.7
81,Suzuki Alto,2022,36431,Transmission,Gear Shifting Hard,Major,Gear Cable/Oil,In Stock,Authorized,14,Athuraliya,Tuesday,Morning,7.2
82,Suzuki Alto,2015,124812,Engine,Oil Leak (Gasket),Minor,Valve Cover Gasket,In Stock,Local,10,Pallimulla,Sunday,Morning,1.9
83,Suzuki Alto,2015,269759,Electrical,Rat Bite Damage,Minor,Wiring Harness Repair,In Stock,Authorized,10,Paburana,Saturday,Afternoon,2.3
84,Suzuki Alto,2011,197674,Brake,Disc Rotor Warped,Major,Disc Skimming,Order Required,Local,6,Pitabeddara,Monday,Morning,6.5
85,Suzuki Alto,2020,140181,Transmission,Clutch Slipping,Major,Clutch Plate Set,In Stock,Local,9,Kirinda Puhulwella,Thursday,Evening,15.3
86,Suzuki Alto,2021,31102,Body,Windshield Crack,Moderate,Windshield Glass,In Stock,Local,8,Malimbada,Saturday,Evening,3.8
87,Suzuki Alto,2015,320520,AC,Bad Smell,Moderate,Evaporator Cleaning,Order Required,Local,1,Pallimulla,Saturday,Morning,1.5
88,Suzuki Alto,2021,32513,Engine,Misfiring,Minor,Spark Plugs/Coils,In Stock,Authorized,5,Welipitiya,Friday,Evening,1.2
89,Suzuki Alto,2015,117936,Engine,Engine Knocking,Moderate,Engine Overhaul Kit,In Stock,Local,22,Thihagoda,Thursday,Afternoon,13.8
90,Suzuki Alto,2014,132520,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Local,22,Nawimana,Wednesday,Evening,1.7
91,Suzuki Alto,2012,195889,Electrical,Check Engine Light,Moderate,Sensor (O2/MAP),In Stock,Local,12,Thalalla,Thursday,Evening,1.4
92,Suzuki Alto,2019,168256,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Local,22,Thihagoda,Friday,Morning,2.6
93,Suzuki Alto,2011,67825,Engine,Oil Leak (Gasket),Minor,Valve Cover Gasket,In Stock,Local,3,Hiththetiya,Thursday,Morning,2.3
94,Suzuki Alto,2011,216464,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Local,9,Dondra,Sunday,Afternoon,2.6
95,Suzuki Alto,2016,55233,Electrical,Rat Bite Damage,Minor,Wiring Harness Repair,Order Required,Local,5,Devinuwara,Sunday,Afternoon,1.8
96,Suzuki Alto,2015,214898,Suspension,Shock Absorber Leaking,Minor,Shock Absorbers,In Stock,Local,3,Welipitiya,Tuesday,Evening,1.9
97,Suzuki Alto,2021,46777,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,17,Dondra,Tuesday,Morning,0.5
98,Suzuki Alto,2011,500321,Suspension,Bushings Worn,Minor,Suspension Bush Kit,Order Required,Local,25,Devinuwara,Friday,Afternoon,1.3
99,Suzuki Alto,2011,156962,Engine,Coolant Leak,Minor,Radiator Hose/Pipe,In Stock,Local,23,Matara,Wednesday,Afternoon,0.7
100,Suzuki Alto,2020,42573,Engine,Throttle Body Issue,Minor,Throttle Body Cleaner,In Stock,Local,20,Bambalapitiya,Saturday,Afternoon,0.5
101,Suzuki Alto,2017,126529,AC,Blower Fan Issue,Minor,Blower Motor,In Stock,Local,18,Pasgoda,Monday,Afternoon,0.5
102,Suzuki Alto,2022,17158,AC,Condenser Leak,Major,Condenser,In Stock,Authorized,5,Pitabeddara,Wednesday,Evening,7.5
103,Suzuki Alto,2022,36913,Electrical,Check Engine Light,Moderate,Sensor (O2/MAP),In Stock,Local,19,Pallimulla,Thursday,Morning,0.9
104,Suzuki Alto,2017,229145,Engine,Thermostat Stuck,Minor,Thermostat Valve,In Stock,Authorized,8,Grandpass,Thursday,Afternoon,2.2
105,Suzuki Alto,2018,154352,AC,Condenser Leak,Moderate,Condenser,In Stock,Local,22,Kesbewa,Wednesday,Morning,1.9
106,Suzuki Alto,2015,112640,Engine,Thermostat Stuck,Minor,Thermostat Valve,In Stock,Authorized,15,Athuraliya,Monday,Evening,1.8
107,Suzuki Alto,2013,45182,Engine,Fuel Injector Clog,Minor,Injector Cleaning,Order Required,Authorized,15,Pasgoda,Wednesday,Morning,1.1
108,Suzuki Alto,2014,96932,Engine,Radiator Cap Fault,Minor,Radiator Cap,Order Required,Local,24,Maradana,Friday,Morning,0.5
109,Suzuki Alto,2019,154045,Brake,ABS Sensor Fault,Minor,ABS Sensor,Order Required,Local,23,Weligama,Thursday,Evening,0.5
110,Suzuki Alto,2018,105312,Engine,Engine Knocking,Major,Engine Overhaul Kit,In Stock,Authorized,13,Malimbada,Friday,Morning,37.5
111,Suzuki Alto,2022,15115,Electrical,Rat Bite Damage,Moderate,Wiring Harness Repair,Order Required,Authorized,5,Gandara,Wednesday,Evening,4.7
112,Suzuki Alto,2021,43293,Engine,Fuel Injector Clog,Minor,Injector Cleaning,Order Required,Authorized,10,Dondra,Saturday,Morning,1.1
113,Suzuki Alto,2019,30379,Electrical,Starter Motor Fault,Major,Starter Motor,In Stock,Authorized,13,Athuraliya,Thursday,Afternoon,6.1
114,Suzuki Alto,2016,95169,Brake,ABS Sensor Fault,Major,ABS Sensor,In Stock,Local,3,Matara,Thursday,Morning,4.0
115,Suzuki Alto,2022,23468,Electrical,Rat Bite Damage,Minor,Wiring Harness Repair,In Stock,Authorized,16,Kamburupitiya,Sunday,Evening,1.9
116,Suzuki Alto,2017,72712,AC,No Cooling,Major,Refrigerant Gas,In Stock,Local,19,Athuraliya,Monday,Morning,4.6
117,Suzuki Alto,2020,66544,Body,Paint Scratch,Minor,Touch-up Paint,In Stock,Authorized,7,Pitabeddara,Wednesday,Afternoon,1.5
118,Suzuki Alto,2017,115537,AC,Condenser Leak,Major,Condenser,In Stock,Authorized,12,Matara,Sunday,Morning,6.8
119,Suzuki Alto,2022,26041,Suspension,Steering Rack Rattle,Moderate,Steering Rack Bush,In Stock,Authorized,15,Dondra,Tuesday,Afternoon,4.8
120,Suzuki Alto,2014,358874,Engine,Radiator Fan Failure,Minor,Fan Motor,In Stock,Authorized,17,Grandpass,Thursday,Morning,1.5
121,Suzuki Alto,2021,55681,Electrical,Rat Bite Damage,Moderate,Wiring Harness Repair,In Stock,Authorized,6,Kaduwela,Tuesday,Afternoon,4.0
122,Suzuki Alto,2012,334902,AC,Condenser Leak,Major,Condenser,In Stock,Local,19,Hakmana,Tuesday,Afternoon,6.7
123,Suzuki Alto,2020,30881,Electrical,Rat Bite Damage,Major,Wiring Harness Repair,Order Required,Local,21,Meddawatta,Wednesday,Morning,6.5
124,Suzuki Alto,2012,306454,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Local,5,Kotapola,Wednesday,Evening,5.0
125,Suzuki Alto,2011,201049,Engine,Water Pump Failure,Moderate,Water Pump,In Stock,Local,9,Devinuwara,Sunday,Afternoon,4.3
126,Suzuki Alto,2020,24232,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Authorized,11,Athuraliya,Tuesday,Afternoon,4.4
127,Suzuki Alto,2013,156398,Electrical,Alternator Failure,Major,Alternator,Order Required,Local,21,Devinuwara,Wednesday,Evening,6.1
128,Suzuki Alto,2019,37427,Engine,Misfiring,Minor,Spark Plugs/Coils,In Stock,Authorized,19,Kirinda Puhulwella,Monday,Evening,0.8
129,Suzuki Alto,2019,22459,Engine,Fuel Injector Clog,Moderate,Injector Cleaning,In Stock,Authorized,6,Nawimana,Thursday,Evening,3.4
130,Suzuki Alto,2021,85484,Engine,Oil Leak (Gasket),Moderate,Valve Cover Gasket,In Stock,Authorized,12,Thalalla,Wednesday,Afternoon,3.2
131,Suzuki Alto,2011,181499,Engine,Water Pump Failure,Minor,Water Pump,In Stock,Local,4,Slave Island,Sunday,Morning,2.7
132,Suzuki Alto,2016,109089,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Local,19,Modara,Friday,Afternoon,1.0
133,Suzuki Alto,2012,309295,Electrical,Rat Bite Damage,Moderate,Wiring Harness Repair,Order Required,Local,15,Nawimana,Tuesday,Afternoon,3.1
134,Suzuki Alto,2013,65911,Electrical,Starter Motor Fault,Moderate,Starter Motor,Order Required,Local,16,Weligama,Thursday,Evening,2.0
135,Suzuki Alto,2015,116688,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Local,10,Matara,Tuesday,Afternoon,1.1
136,Suzuki Alto,2022,35072,AC,Blower Fan Issue,Minor,Blower Motor,In Stock,Authorized,16,Devinuwara,Tuesday,Afternoon,0.5
137,Suzuki Alto,2016,52312,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Local,20,Kolonnawa,Tuesday,Evening,2.6
138,Suzuki Alto,2011,67895,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Authorized,14,Kirulapone,Wednesday,Evening,0.6
139,Suzuki Alto,2018,69884,Engine,Coolant Leak,Moderate,Radiator Hose/Pipe,In Stock,Local,2,Hakmana,Friday,Afternoon,2.9
140,Suzuki Alto,2022,13169,Electrical,Starter Motor Fault,Major,Starter Motor,In Stock,Local,8,Kollupitiya,Thursday,Afternoon,0.0
141,Suzuki Alto,2018,113828,Electrical,Battery Drain,Minor,Battery,In Stock,Local,19,Akuressa,Sunday,Morning,0.5
142,Suzuki Alto,2011,93338,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Local,19,Dondra,Sunday,Evening,0.7
143,Suzuki Alto,2022,27178,Electrical,Rat Bite Damage,Moderate,Wiring Harness Repair,In Stock,Authorized,15,Malimbada,Monday,Afternoon,3.1
144,Suzuki Alto,2014,154746,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,In Stock,Local,12,Ratmalana,Thursday,Morning,0.9
145,Suzuki Alto,2016,146726,AC,Compressor Noise,Moderate,Compressor,In Stock,Authorized,14,Gandara,Thursday,Evening,3.5
146,Suzuki Alto,2018,119401,AC,Condenser Leak,Moderate,Condenser,In Stock,Local,3,Welipitiya,Thursday,Evening,3.6
147,Suzuki Alto,2013,117623,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Local,18,Borella,Saturday,Morning,2.4
148,Suzuki Alto,2019,184226,Suspension,Wheel Bearing Noise,Major,Wheel Bearing,Order Required,Local,16,Modara,Saturday,Morning,6.0
149,Suzuki Alto,2021,40677,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Authorized,18,Welipitiya,Monday,Afternoon,4.0
150,Suzuki Alto,2020,128357,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Authorized,13,Devinuwara,Friday,Morning,44.0
151,Suzuki Alto,2012,114491,Body,Bumper Crack,Moderate,Bumper Repair,In Stock,Local,3,Athuraliya,Sunday,Afternoon,2.5
152,Suzuki Alto,2011,204077,Suspension,CV Joint Noise,Major,CV Joint/Boot,In Stock,Authorized,20,Kolonnawa,Tuesday,Morning,6.1
153,Suzuki Alto,2021,25616,Engine,Hard Starting,Minor,Starter Motor/Battery,Order Required,Local,23,Devinuwara,Wednesday,Morning,0.5
154,Suzuki Alto,2015,75342,Transmission,Clutch Slipping,Major,Clutch Plate Set,In Stock,Local,18,Mulatiyana,Tuesday,Afternoon,12.8
155,Suzuki Alto,2012,161036,Engine,Fuel Injector Clog,Minor,Injector Cleaning,In Stock,Local,14,Malimbada,Thursday,Afternoon,1.2
156,Suzuki Alto,2021,30233,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Authorized,17,Thalalla,Friday,Afternoon,0.7
157,Suzuki Alto,2017,46308,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Local,16,Havelock Town,Wednesday,Afternoon,2.8
158,Suzuki Alto,2013,61841,AC,Condenser Leak,Moderate,Condenser,In Stock,Local,5,Modara,Monday,Morning,0.0
159,Suzuki Alto,2016,303997,Engine,Throttle Body Issue,Minor,Throttle Body Cleaner,In Stock,Local,23,Bambalapitiya,Monday,Afternoon,0.5
160,Suzuki Alto,2016,136608,Engine,Thermostat Stuck,Minor,Thermostat Valve,Order Required,Authorized,12,Ratmalana,Monday,Afternoon,1.5
161,Suzuki Alto,2022,56459,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Authorized,5,Matara,Wednesday,Afternoon,2.1
162,Suzuki Alto,2012,139042,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Local,6,Gandara,Sunday,Morning,0.6
163,Suzuki Alto,2018,110120,AC,Condenser Leak,Minor,Condenser,In Stock,Authorized,19,Malimbada,Tuesday,Afternoon,1.0
164,Suzuki Alto,2017,18698,Electrical,Check Engine Light,Major,Sensor (O2/MAP),In Stock,Local,12,Seethawaka,Tuesday,Evening,2.5
165,Suzuki Alto,2020,26664,Engine,Oil Leak (Gasket),Minor,Valve Cover Gasket,Order Required,Local,6,Malimbada,Monday,Morning,1.6
166,Suzuki Alto,2015,96962,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,In Stock,Local,23,Nawimana,Saturday,Evening,0.5
167,Suzuki Alto,2022,33250,Brake,Brake Fluid Leak,Major,Brake Cylinder/Line,Order Required,Authorized,15,Bambalapitiya,Sunday,Afternoon,6.2
168,Suzuki Alto,2022,24125,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,16,Hakmana,Friday,Evening,1.4
169,Suzuki Alto,2012,490399,Electrical,Check Engine Light,Moderate,Sensor (O2/MAP),In Stock,Local,1,Dikwella,Monday,Morning,1.4
170,Suzuki Alto,2011,410425,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Local,9,Pallimulla,Thursday,Afternoon,0.5
171,Suzuki Alto,2022,19098,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Authorized,14,Kesbewa,Friday,Morning,0.5
172,Suzuki Alto,2016,222910,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Local,2,Mulatiyana,Friday,Afternoon,0.9
173,Suzuki Alto,2019,68926,Electrical,Battery Drain,Minor,Battery,In Stock,Local,10,Borella,Wednesday,Afternoon,0.5
174,Suzuki Alto,2021,50713,Electrical,Rat Bite Damage,Moderate,Wiring Harness Repair,In Stock,Authorized,10,Pitabeddara,Friday,Evening,3.4
175,Suzuki Alto,2022,81886,Electrical,Check Engine Light,Minor,Sensor (O2/MAP),Order Required,Authorized,8,Kamburupitiya,Sunday,Morning,0.8
176,Suzuki Alto,2012,88557,Engine,Blown Head Gasket,Major,Head Gasket Set,Order Required,Local,16,Weligama,Wednesday,Morning,41.1
177,Suzuki Alto,2020,54169,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Authorized,16,Thihagoda,Tuesday,Evening,2.4
178,Suzuki Alto,2022,26371,Suspension,Rim Bend,Major,Rim Repair,In Stock,Authorized,12,Kamburupitiya,Friday,Afternoon,3.7
179,Suzuki Alto,2011,247510,Electrical,Horn Not Working,Moderate,Horn Unit,In Stock,Local,12,Meddawatta,Tuesday,Morning,0.5
180,Suzuki Alto,2017,85098,AC,Blower Fan Issue,Moderate,Blower Motor,In Stock,Authorized,17,Matara,Wednesday,Evening,1.1
181,Suzuki Alto,2014,375251,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Local,20,Meddawatta,Wednesday,Morning,33.5
182,Suzuki Alto,2017,97251,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,Order Required,Authorized,6,Kamburupitiya,Saturday,Afternoon,1.1
183,Suzuki Alto,2016,115136,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,In Stock,Local,2,Dikwella,Thursday,Morning,2.7
184,Suzuki Alto,2014,88022,AC,Blower Fan Issue,Moderate,Blower Motor,In Stock,Local,14,Kirinda Puhulwella,Monday,Afternoon,0.0
